Rank,Bank name,Market cap (US$ billion),Market cap (EUR billion),Market cap (GBP billion),Market cap (INR billion)
1,JPMorgan Chase,432.92,402.62,346.34,35910.71
2,Bank of America,231.52,215.31,185.22,19204.58
3,Industrial and Commercial Bank of China,194.56,180.94,155.65,16138.75
4,Agricultural Bank of China,160.68,149.43,128.54,13328.41
5,HDFC Bank,157.91,146.86,126.33,13098.63
6,Wells Fargo,155.87,144.96,124.7,12929.42
7,HSBC Holdings PLC,148.9,138.48,119.12,12351.26
8,Morgan Stanley,140.83,130.97,112.66,11681.85
9,China Construction Bank,139.82,130.03,111.86,11598.07
10,Bank of China,136.81,127.23,109.45,11348.39
